2025-03-09 12:55:44,276 [INFO] - Initializing PostgresDBBot...
2025-03-09 12:55:44,368 [INFO] - Connected to Postgres @ localhost:5434/Quant_Trading
2025-03-09 12:55:44,369 [INFO] - Tables verified/created successfully.
2025-03-09 12:55:44,374 [INFO] - DB Bot running, listening to Redis Pub/Sub...
2025-03-09 12:57:59,767 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 01:57:00
2025-03-09 12:58:59,784 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 01:58:00
2025-03-09 12:59:59,773 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 01:59:00
2025-03-09 12:59:59,875 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 01:55:00
2025-03-09 12:59:59,977 [INFO] - Kline data inserted for BTCUSDT, interval=60, time=2025-03-09 01:00:00
2025-03-09 13:00:59,753 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:00:00
2025-03-09 13:01:59,745 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:01:00
2025-03-09 13:02:59,743 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:02:00
2025-03-09 13:05:59,740 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:05:00
2025-03-09 13:06:59,739 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:06:00
2025-03-09 13:07:59,753 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:07:00
2025-03-09 13:26:59,722 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:26:00
2025-03-09 13:28:59,719 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:28:00
2025-03-09 13:29:59,740 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:29:00
2025-03-09 13:29:59,841 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 02:25:00
2025-03-09 13:30:59,718 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:30:00
2025-03-09 13:31:59,717 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:31:00
2025-03-09 13:32:59,777 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:32:00
2025-03-09 13:33:59,811 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:33:00
2025-03-09 13:34:59,713 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:34:00
2025-03-09 13:34:59,815 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 02:30:00
2025-03-09 13:35:59,713 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:35:00
2025-03-09 13:36:59,712 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:36:00
2025-03-09 13:37:59,711 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:37:00
2025-03-09 13:38:59,763 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:38:00
2025-03-09 13:39:59,709 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:39:00
2025-03-09 13:39:59,811 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 02:35:00
2025-03-09 13:40:59,708 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:40:00
2025-03-09 13:41:59,744 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:41:00
2025-03-09 13:42:59,706 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:42:00
2025-03-09 13:43:59,705 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:43:00
2025-03-09 13:44:59,769 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:44:00
2025-03-09 13:44:59,871 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 02:40:00
2025-03-09 13:45:59,703 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:45:00
2025-03-09 13:46:59,785 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:46:00
2025-03-09 13:47:59,702 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:47:00
2025-03-09 13:48:59,788 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:48:00
2025-03-09 13:49:59,768 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 02:45:00
2025-03-09 13:49:59,871 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:49:00
2025-03-09 13:50:59,700 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:50:00
2025-03-09 13:51:59,697 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:51:00
2025-03-09 13:52:59,738 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:52:00
2025-03-09 13:53:59,761 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:53:00
2025-03-09 13:54:59,696 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 02:54:00
2025-03-09 13:54:59,798 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 02:50:00
2025-03-09 14:00:59,689 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:00:00
2025-03-09 14:14:59,676 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 03:10:00
2025-03-09 14:14:59,778 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:14:00
2025-03-09 14:15:59,675 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:15:00
2025-03-09 14:17:14,409 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:16:00
2025-03-09 14:17:59,675 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:17:00
2025-03-09 14:18:59,684 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:18:00
2025-03-09 14:19:59,734 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:19:00
2025-03-09 14:19:59,837 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 03:15:00
2025-03-09 14:20:59,670 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:20:00
2025-03-09 14:21:59,669 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:21:00
2025-03-09 14:22:59,716 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:22:00
2025-03-09 14:23:59,707 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:23:00
2025-03-09 14:24:59,738 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:24:00
2025-03-09 14:24:59,840 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 03:20:00
2025-03-09 14:25:59,665 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:25:00
2025-03-09 14:26:59,702 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:26:00
2025-03-09 14:27:59,716 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:27:00
2025-03-09 14:28:59,758 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:28:00
2025-03-09 14:29:59,662 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:29:00
2025-03-09 14:29:59,764 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 03:25:00
2025-03-09 14:30:59,663 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:30:00
2025-03-09 14:31:59,674 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:31:00
2025-03-09 14:32:59,721 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:32:00
2025-03-09 14:33:59,756 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:33:00
2025-03-09 14:34:59,656 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:34:00
2025-03-09 14:34:59,779 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 03:30:00
2025-03-09 14:35:59,655 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:35:00
2025-03-09 14:36:59,655 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:36:00
2025-03-09 14:37:59,688 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:37:00
2025-03-09 14:38:59,742 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:38:00
2025-03-09 14:39:59,652 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:39:00
2025-03-09 14:39:59,754 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 03:35:00
2025-03-09 14:40:59,652 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:40:00
2025-03-09 14:41:59,694 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:41:00
2025-03-09 14:42:59,746 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:42:00
2025-03-09 14:43:59,648 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:43:00
2025-03-09 14:44:59,703 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:44:00
2025-03-09 14:44:59,805 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 03:40:00
2025-03-09 14:45:59,650 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:45:00
2025-03-09 14:46:59,674 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:46:00
2025-03-09 14:47:59,756 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:47:00
2025-03-09 14:48:59,659 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:48:00
2025-03-09 14:49:59,671 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:49:00
2025-03-09 14:49:59,773 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 03:45:00
2025-03-09 14:50:59,668 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:50:00
2025-03-09 14:51:59,697 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:51:00
2025-03-09 14:52:59,765 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:52:00
2025-03-09 14:53:59,674 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:53:00
2025-03-09 14:54:59,676 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:54:00
2025-03-09 14:54:59,778 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 03:50:00
2025-03-09 14:55:59,680 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:55:00
2025-03-09 14:56:59,715 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:56:00
2025-03-09 14:57:59,780 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:57:00
2025-03-09 14:58:59,690 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:58:00
2025-03-09 14:59:59,748 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 03:59:00
2025-03-09 14:59:59,850 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 03:55:00
2025-03-09 14:59:59,952 [INFO] - Kline data inserted for BTCUSDT, interval=60, time=2025-03-09 03:00:00
2025-03-09 15:00:59,695 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:00:00
2025-03-09 15:01:59,699 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:01:00
2025-03-09 15:02:59,703 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:02:00
2025-03-09 15:03:59,715 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:03:00
2025-03-09 15:04:59,734 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:04:00
2025-03-09 15:04:59,836 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 04:00:00
2025-03-09 15:05:59,710 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:05:00
2025-03-09 15:06:59,712 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:06:00
2025-03-09 15:07:59,792 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:07:00
2025-03-09 15:08:59,719 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:08:00
2025-03-09 15:09:59,722 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:09:00
2025-03-09 15:09:59,824 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 04:05:00
2025-03-09 15:10:59,725 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:10:00
2025-03-09 15:11:59,765 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:11:00
2025-03-09 15:12:59,795 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:12:00
2025-03-09 15:13:59,791 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:13:00
2025-03-09 15:14:59,736 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:14:00
2025-03-09 15:14:59,839 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 04:10:00
2025-03-09 15:15:59,741 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:15:00
2025-03-09 15:16:59,827 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:16:00
2025-03-09 15:17:59,746 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:17:00
2025-03-09 15:18:59,753 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:18:00
2025-03-09 15:19:59,785 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:19:00
2025-03-09 15:19:59,887 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 04:15:00
2025-03-09 15:20:59,755 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 04:20:00
2025-03-09 16:06:59,858 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:06:00
2025-03-09 16:06:59,960 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:06:00
2025-03-09 16:07:00,172 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:06:00
2025-03-09 16:07:59,856 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:07:00
2025-03-09 16:07:59,959 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:07:00
2025-03-09 16:08:00,175 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:07:00
2025-03-09 16:08:59,857 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:08:00
2025-03-09 16:08:59,959 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:08:00
2025-03-09 16:09:00,175 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:08:00
2025-03-09 16:09:59,857 [INFO] - Kline data inserted for BTCUSDT, interval=5, time=2025-03-09 05:05:00
2025-03-09 16:09:59,960 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:09:00
